text1,text2,label
value,of,1
dl_bandwidth,frequency_range,1
reporting,exit,0
ul,obviously,0
resource_id,in,1
are,the,1
license,cindy,0
this,frame,1
measurements,resources,1
beam_allocation_procedure,nrmac,1
uint16_t,start_bit,1
allocate,opposed,0
fs,fdd,1
pucch,suspected,0
csi,elsewhere,0
ue,ue_sched_ctrl,1
mac,chest,0
sfn,accessing,0
prach_rootsequenceindex,scholarships,0
of,flag,0
on,as,1
cqi_idx,cri_ri_li_pmi_cqi_report,1
harq,bits,1
correct,the,1
base10_idx,defensive,0
downlinkconfigcommon,stripes,0
this,for,1
pickandreverse_bits,payload,1
process,population,0
single,for,1
ul_bwp,trainers,0
number,visits,0
sequence,photo,0
for,propecia,0
the,or,1
int,filename,0
scc,weddings,0
csi,empty,1
measurements,ssb,1
be,confirmed,0
print128_number,planners,0
sinr_report,suspended,0
choice,alike,0
simde_mm_setr_epi32,issues,0
by,resource_id,1
the,buffalo,0
for,scheduling,1
list,worm,0
mib_payload,mib_pdu,1
no,confusion,0
without,kind,1
resources,one,1
n_slots_frame,numb_slots_frame,1
simde_mm_setr_epi32,enhancement,0
cfg,mailing,0
base12_idx,port,1
curr_pucch,airlines,0
tl,lemon,0
may,copy,1
nr_ue_sched_ctrl_t,ue,1
scheduling,reception,1
int,sources,0
happens,river,0
csi,number,1
gnb_mac_inst,oxide,0
resource_indicator,resources,1
base30_idx,num_prgs,1
we,formerly,0
const,csi_measconfig,1
rssi_threshold,pucch_rssi_threshold,1
frame,census,0
that,vic,0
is,linking,0
int,numb_slots_period,1
base00_idx,forever,0
curr_pucch,courts,0
cfg,collins,0
be,skip,1
msg1,fdm,1
number,csi_report,1
mutex,mambo,0
uci,glenn,0
uci,uci_01,1
schedule,inspired,0
distance,to,1
in,not,1
n1,k2,1
the,within,1
ssb_config,value,1
protected,in,1
ssb_offset_point_a,tag,1
const,best,0
public,skiing,0
void,calcium,0
full,ul,1
cfg,shortbitmap,1
uci_234,rssi,1
carrier_config,compaq,0
multiple,domain,1
num_pdsch_antenna_ports,museum,0
cannot,allocate,1
const,appropriations,0
sub,not,1
curr_pucch,tribute,0
the,barnes,0
the,groupbasedbeamreporting,1
to,time,1
frame,ice,0
not,among,1
simde_mm_cvtepi32_ps,mat_kj_128,1
find,suddenly,0
for,islands,0
this,regarding,1
int,n_ahead,1
the,only,1
int,cri_ri_li_pmi_cqi_report,1
spec,csi,1
pucch,nr_of_symb,1
limit,lifestyle,0
nr_csi_report_t,printer,0
calling,reported,0
kind,september,0
cfg,ssb_mask_list,1
on,operations,0
int,legally,0
o2,barrel,0
base12_idx,num_prgs,1
the,supreme,0
int,csi_reportconfigtoaddmodlist,1
of,results,0
obtain,fda,0
brief,per,1
scc,longbitmap,1
sr,ul_cqi,1
csi,tells,0
periodic,finished,0
second,specialist,0
license,commercial,0
previous,frames,1
scheduling,timing,1
handled,trades,0
gmail,earnings,0
ch,law,0
theta_n,crew,0
carrier_config,dl_k0,1
distance,past,1
the,license,1
uint8_t,commission,0
nn,o2,1
assertfatal,defendant,0
unless,cir,0
base22_idx,base32_idx,1
with,indianapolis,0
resource,stories,0
the,rally,0
ack,timing,1
zero,base,0
the,mongolia,0
get_frame_type,band,1
pi01,pi,1
frame,garage,0
symb,burn,0
to,int,1
if,gathered,0
function,widespread,0
simultaneous,domain,1
ue,rnti,1
more,touring,0
list,croatia,0
pickandreverse_bits,payload,1
of,warming,0
required,agreed,1
with,integrate,0
const,port,1
phy,handle,1
tag,comparisons,0
to,and,1
period,ipaq,0
ue,frame,1
num_gnb_antenna_elements,thirty,0
applicable,to,1
num_prgs,rx,1
scheduled,modify,0
return,awesome,0
configured,set,1
per,with,1
and,listening,0
no,security,0
list,upload,0
nr_slots_period,housewives,0
return,pmiq,1
of,conversion,0
nrmac,collins,0
future_ul_tti_req,pdus_list,1
log_d,pucch,1
maxcount,count,1
generation,dental,0
if,harq,1
oai,more,1
alliance,to,1
of,baghdad,0
be,are,1
const,lotus,0
report,streams,0
log_e,nr_mac,1
handle_dl_harq,associated,0
wait,in,1
if,values,0
api,report,1
sched_ctrl,sized,0
pucch,prb_start,1
oai,alliance,1
only,yet,1
timing,plant,0
return,tdd,1
rx,tx,1
csi,rs,1
int,crew,0
phase_sign,theta_n,1
num_prgs,antenna,1
for,ll,1
carrier_config,value,1
slot,prescribed,0
are,srs,1
raymond,wei,1
prach_fd_occasion,lions,0
invalid,values,1
pucch_frame,doom,0
get_pucch_index,sched_ctrl,1
absent,czech,0
obtain,of,1
srs,this,1
nr_ue_sched_ctrl_t,pricing,0
int,deny,0
pucch_config,considerable,0
frame,ue,1
we,can,1
prach_root_sequence_index,maintains,0
nrmac,ladies,0
frame,n_ul_slots_frame,1
if,maxcount,1
todo,banners,0
srs_pdu,walked,0
base02_idx,tx,1
to,or,1
assertfatal,weblog,0
mac,uci,1
are,when,1
tpc1,nr_get_tpc,1
uint16_t,watershed,0
get,period,1
in,pusch,1
cqi_bitlen,csi_report,1
feedback_frame,renaissance,0
value,carrierbandwidth,1
higher,to,1
informs,an,1
payload,documentation,0
li,bread,0
only,we,1
ue,with,1
that,srs,1
two,aquarium,0
curr_pucch,list,1
evaluate_ri_report,accuracy,0
prach_config,descriptions,0
cfg,num_tlv,1
ue,expected,1
cfg,carrier_config,1
ue,pid,1
devassert,informational,0
pucch_acknack,bits,1
no,found,1
for,sap,0
unless,or,1
const,sched_frame,1
ul_ack,pucch,1
boundary,forests,0
cfg,trips,0
processing,need,1
ul_buffer_index,she,0
int,nfapi_nr_pm_list_t,1
log_e,coupon,0
transmissioncomb,everyday,0
the,warrant,0
mat_k,injection,0
pucch,ld,1
of,beams,1
pointa,cc,1
measurements,than,1
nrmac,beam,1
tx,fruit,0
base10_idx,num_gnb_antenna_elements,1
ue,rnti,1
number,free,1
in,information,1
file,distributed,1
const,sched_slot,1
harq_crc,nrmac,1
nr_beam_alloc_t,sense,0
struct,frequencyinfoul,1
dft,engage,0
v_lm,mm,1
beamforming,desk,0
mat_k,rural,0
initialuplinkbwp,transfer,0
scc,may,0
pucchres,format3,1
harq,broke,0
brief,ul,1
for,information,1
the,dust,0
static,disk,0
srs_resource,coating,0
log_i,nsum,1
ssb,relevant,0
pucchres,extremely,0
according,garbage,0
csi,uplink,1
layer2,featuring,0
void,nrmac,1
the,pusch,1
pucch_config,yeah,0
mac,pucch_slot,1
n1,v_lm,1
sched_slot,slot,1
given,slot,1
cri_ri_li_pmi_cqi_report,payload,1
sched_frame,srs_resource,1
int,cc,1
int,portal,0
assertfatal,size,1
value,get_delta_f_ra_long,1
spec,is,1
so,rsrp,1
const,bookmark,0
slot,max_fb_time,1
simde_mm_setr_epi32,pi,1
simde__m128,mat_i,1
valid,get_measured_rsrp,1
slot_type,tdd_nr_uplink_slot,1
for,semi,1
the,makeup,0
law,phenomenon,0
to,slot,1
licensed,private,0
for,permissions,1
than,csi,1
number,the,1
ch,sister,0
not,measurements,1
advance,cosmetic,0
n_ahead,funk,0
case,entire,0
added,powerseller,0
the,by,1
bits,are,1
uint16_t,num_gnb_antenna_elements,1
oai,one,1
uint16_t,pi,1
sched_ctrl,brooklyn,0
simde_mm_setr_epi32,manga,0
cell_config,nfapi_nr_config_phy_cell_id_tag,1
int32_t,mat,1
csi,number,1
from,compact,0
configured,stat,0
spec,the,1
ssb_table,tl,1
index,rsrp,1
llc,fairfield,0
slot,forget,0
current,subscribe,0
can,bandwidth,0
in,process,1
x2_bitlen,csi_meas_bitlen,1
of,slots,1
reception,nyc,0
brief,boulder,0
sets,according,1
count,dying,0
convert,herself,0
nr_mac,vancouver,0
free,french,0
sched_frame,slot,1
num_gnb_antenna_elements,rx,1
ntn_gnb_koffset,n_slots_frame,1
log_d,band,1
calling,r_pucch,1
while,of,1
handle_nr_uci_pucch_2_3_4,slot_t,1
identifier,national,0
for,commit,0
slot,dropped,0
slot,card,0
base00_idx,glasses,0
notice,conviction,0
of,rs,1
n_slots_frame,card,0
srs_resource,halo,0
measurements,or,1
ri,in,1
frame_structure,itself,0
rs,is,1
if,educators,0
ue,becoming,0
ch,base01_idx,1
srs_period,bullet,0
nrmac,housing,0
tx,enemy,0
num_gnb_antenna_elements,quickly,0
occupation,honolulu,0
pickandreverse_bits,x2_bitlen,1
ul,or,1
process,frame,1
cfg,value,1
function,possible,1
than,greeting,0
beams,under,0
than,prot,0
mat_i,mat_k,1
cfg,poetry,0
ue_rejected,yards,0
srs_pdu,six,0
num_prgs,protective,0
frame,bond,0
for,bachelor,0
pucchres,array,1
base00_idx,corpus,0
semi,carlo,0
limitations,the,1
int,pucch_resource,1
number,shown,0
the,bus,0
could,frame,1
nr_mac,sigma,0
const,num_gnb_antenna_elements,1
with,arrange,0
rnti,sinr_report,1
void,var,1
update,and,1
ul,slots,1
num_gnb_antenna_elements,hostel,0
each,setting,1
pucchcsires,slide,0
measurements,for,1
rach_configcommon,frequency_range,1
n_slots_frame,adverse,0
frequencyinfoul,nashville,0
pucchresset,lonely,0
pucchcsires,pucch_resource,1
frame_structure_t,count_mixed,1
semi,house,0
nrmac,sched_lock,1
received,symbol,0
advance,well,0
pucchres,hunger,0
either,receive,1
srs,only,1
is,numerous,0
ul,symbols,1
skip,patricia,0
csirep,choice,1
and,memory,0
const,base00_idx,1
bw_index,copy,0
frame,n_slots_frame,1
const,antenna,1
beam_allocation_procedure,n_slots_frame,1
int,o1,1
and,size,1
feedbacks,dealing,0
pucch,ind,0
the,header,0
for,magazines,0
tl,nfapi_nr_config_dl_grid_size_tag,1
rs,resources,1
srs_config,anthony,0
int,buyers,0
void,noon,0
request,rim,0
mac,resource_id,1
uplink_bandwidth,get_supported_bw_mhz,1
vrb_map_ul,common_channels,1
per,frame,1
for,set,1
rx,instance,0
adds,in,1
n_ul_slots_period,destroyed,0
old,for,1
prach_fd_occasion,k1,1
index,using,1
and,human,0
slot,ending,0
curr_pucch,active,1
resources,solar,0
int,inherited,0
max_fb_time,stands,0
int,making,0
ue,frame_t,1
const,previous,0
nrmac,removed,0
num_gnb_antenna_elements,tx,1
pid,commonwealth,0
cfg,bookmarks,0
of,cowboy,0
slot,sounds,0
of,dl,1
max_fb_time,advance,1
j_col,exploration,0
sched_frame,motorola,0
max,decode,1
int,nr_srs_normalized_channel_iq_matrix,1
pmiq,eat,0
brief,in,1
choice,transactions,0
csi,can,1
pucchresset,list,1
uint8_t,barbie,0
not,use,1
to,required,1
void,programmer,0
ssbri,dirty,0
error,for,1
groupbasedbeamreporting,radar,0
uint32_t,negotiation,0
nr_ue_harq_t,slot,1
cri_ri_li_pmi_cqi_report,jar,0
and,from,1
for,more,1
n_set,count,1
and,to,1
vrb,northeast,0
software,one,1
nrofreportedrs,cri,1
of,guidelines,0
the,bit,1
is_ul_slot,appropriate,0
in,structure,1
csi_measconfig,csi_reportconfigtoaddmodlist,1
for,rsrp,1
language,and,1
simde__m128i,blast,0
of,fit,1
nn,cexp,1
index,chose,0
the,anticipated,0
x1,gui,0
cfg,ssb_mask_list,1
row,and,1
than,accurately,0
base01_idx,coat,0
li,atlanta,0
for,and,1
phy,sustainability,0
nn1,licence,0
nrmac,sched_ctrl,1
const,surname,0
list,karen,0
rsrp_report,ssb_rsrp_report,1
reporting,combat,0
case,harq,1
invalid,potter,0
double,fundamental,0
pm_idx,the,1
scs_common,scc,1
more,journal,0
under,more,1
this,which,1
nr_mac,exposed,0
under,the,1
csi_report,meetings,0
for,acids,0
index,midlands,0
is,in,1
